event,time,src,dst,packetName,srcPort,dstPort,pktLen
1594,24.2114,10.1.0.21,10.1.0.42,attack,9003,9002,100
1595,24.212,10.1.0.21,10.1.0.42,attack,9003,9002,100
1596,24.213,10.1.0.14,10.1.0.42,normal,9001,9002,100
1597,24.2139,10.1.0.21,10.1.0.42,attack,9003,9002,100
1598,24.2147,10.1.0.11,10.1.0.42,attack,9003,9002,100
1599,24.2161,10.1.0.11,10.1.0.42,attack,9003,9002,100
1600,24.2166,10.1.0.21,10.1.0.42,attack,9003,9002,100
1601,24.2169,10.1.0.21,10.1.0.42,attack,9003,9002,100
1602,24.2175,10.1.0.21,10.1.0.42,attack,9003,9002,100
1603,24.2178,10.1.0.21,10.1.0.42,attack,9003,9002,100
1604,24.2181,10.1.0.11,10.1.0.42,attack,9003,9002,100
1605,24.2189,10.1.0.11,10.1.0.42,attack,9003,9002,100
1606,24.22,10.1.0.21,10.1.0.42,attack,9003,9002,100
1607,24.2206,10.1.0.11,10.1.0.42,attack,9003,9002,100
1608,24.2211,10.1.0.11,10.1.0.42,attack,9003,9002,100
1609,24.2214,10.1.0.21,10.1.0.42,attack,9003,9002,100
1610,24.2217,10.1.0.21,10.1.0.42,attack,9003,9002,100
1611,24.2226,10.1.0.11,10.1.0.42,attack,9003,9002,100
1612,24.2232,10.1.0.11,10.1.0.42,attack,9003,9002,100
1613,24.2287,10.1.0.11,10.1.0.42,attack,9003,9002,100
1614,24.229,10.1.0.11,10.1.0.42,attack,9003,9002,100
1615,24.2294,10.1.0.11,10.1.0.42,attack,9003,9002,100
1616,24.2298,10.1.0.21,10.1.0.42,attack,9003,9002,100
1617,24.2307,10.1.0.11,10.1.0.42,attack,9003,9002,100
1618,24.2324,10.1.0.21,10.1.0.42,attack,9003,9002,100
1619,24.2328,10.1.0.21,10.1.0.42,attack,9003,9002,100
1620,24.2332,10.1.0.21,10.1.0.42,attack,9003,9002,100
1621,24.2336,10.1.0.21,10.1.0.42,attack,9003,9002,100
