event,time,src,dst,packetName,srcPort,dstPort,pktLen
3471,30.6217,10.1.0.1,10.1.0.42,attack,9003,9002,100
3472,30.622,10.1.0.1,10.1.0.42,attack,9003,9002,100
3473,30.6224,10.1.0.1,10.1.0.42,attack,9003,9002,100
3474,30.623,10.1.0.1,10.1.0.42,attack,9003,9002,100
3475,30.6242,10.1.0.1,10.1.0.42,attack,9003,9002,100
3476,30.6246,10.1.0.1,10.1.0.42,attack,9003,9002,100
3477,30.6252,10.1.0.1,10.1.0.42,attack,9003,9002,100
3478,30.6268,10.1.0.1,10.1.0.42,attack,9003,9002,100
3479,30.6275,10.1.0.1,10.1.0.42,attack,9003,9002,100
3480,30.6281,10.1.0.1,10.1.0.42,attack,9003,9002,100
3481,30.6287,10.1.0.1,10.1.0.42,attack,9003,9002,100
3482,30.6298,10.1.0.1,10.1.0.42,attack,9003,9002,100
3483,30.6304,10.1.0.1,10.1.0.42,attack,9003,9002,100
3484,30.6318,10.1.0.1,10.1.0.42,attack,9003,9002,100
3485,30.632,10.1.0.1,10.1.0.42,attack,9003,9002,100
3486,30.6332,10.1.0.1,10.1.0.42,attack,9003,9002,100
3487,30.6336,10.1.0.1,10.1.0.42,attack,9003,9002,100
3488,30.6341,10.1.0.1,10.1.0.42,attack,9003,9002,100
3489,30.6351,10.1.0.1,10.1.0.42,attack,9003,9002,100
3490,30.6456,10.1.0.36,10.1.0.42,normal,9001,9002,100
3491,30.6682,10.1.0.3,10.1.0.42,normal,9001,9002,100
3492,30.6908,10.1.0.28,10.1.0.42,normal,9001,9002,100
3493,30.7007,10.1.0.1,10.1.0.42,attack,9003,9002,100
3494,30.7012,10.1.0.1,10.1.0.42,attack,9003,9002,100
3495,30.702,10.1.0.1,10.1.0.42,attack,9003,9002,100
3496,30.703,10.1.0.1,10.1.0.42,attack,9003,9002,100
3497,30.7039,10.1.0.1,10.1.0.42,attack,9003,9002,100
3498,30.7049,10.1.0.1,10.1.0.42,attack,9003,9002,100
3499,30.7055,10.1.0.1,10.1.0.42,attack,9003,9002,100
3500,30.7062,10.1.0.1,10.1.0.42,attack,9003,9002,100
3501,30.707,10.1.0.1,10.1.0.42,attack,9003,9002,100
3502,30.7073,10.1.0.1,10.1.0.42,attack,9003,9002,100
3503,30.7085,10.1.0.1,10.1.0.42,attack,9003,9002,100
3504,30.7092,10.1.0.1,10.1.0.42,attack,9003,9002,100
3505,30.7109,10.1.0.1,10.1.0.42,attack,9003,9002,100
3506,30.7115,10.1.0.31,10.1.0.42,attack,9003,9002,100
3507,30.7134,10.1.0.31,10.1.0.42,attack,9003,9002,100
3508,30.7137,10.1.0.1,10.1.0.42,attack,9003,9002,100
3509,30.7142,10.1.0.1,10.1.0.42,attack,9003,9002,100
3510,30.7158,10.1.0.1,10.1.0.42,attack,9003,9002,100
3511,30.7165,10.1.0.1,10.1.0.42,attack,9003,9002,100
3512,30.7177,10.1.0.1,10.1.0.42,attack,9003,9002,100
3513,30.7184,10.1.0.31,10.1.0.42,attack,9003,9002,100
3514,30.7201,10.1.0.31,10.1.0.42,attack,9003,9002,100
3515,30.7207,10.1.0.31,10.1.0.42,attack,9003,9002,100
3516,30.7218,10.1.0.31,10.1.0.42,attack,9003,9002,100
3517,30.7224,10.1.0.1,10.1.0.42,attack,9003,9002,100
3518,30.7234,10.1.0.1,10.1.0.42,attack,9003,9002,100
3519,30.7249,10.1.0.31,10.1.0.42,attack,9003,9002,100
3520,30.7255,10.1.0.1,10.1.0.42,attack,9003,9002,100
3521,30.7269,10.1.0.1,10.1.0.42,attack,9003,9002,100
3522,30.7273,10.1.0.1,10.1.0.42,attack,9003,9002,100
3523,30.7289,10.1.0.1,10.1.0.42,attack,9003,9002,100
3524,30.7298,10.1.0.31,10.1.0.42,attack,9003,9002,100
3525,30.7311,10.1.0.1,10.1.0.42,attack,9003,9002,100
3526,30.7352,10.1.0.1,10.1.0.42,attack,9003,9002,100
3527,30.7368,10.1.0.2,10.1.0.42,normal,9001,9002,100
3528,30.7453,10.1.0.1,10.1.0.42,attack,9003,9002,100
3529,30.7457,10.1.0.1,10.1.0.42,attack,9003,9002,100
3530,30.7461,10.1.0.1,10.1.0.42,attack,9003,9002,100
3531,30.7465,10.1.0.1,10.1.0.42,attack,9003,9002,100
3532,30.7474,10.1.0.1,10.1.0.42,attack,9003,9002,100
3533,30.7478,10.1.0.1,10.1.0.42,attack,9003,9002,100
3534,30.7487,10.1.0.31,10.1.0.42,attack,9003,9002,100
3535,30.7492,10.1.0.1,10.1.0.42,attack,9003,9002,100
3536,30.7495,10.1.0.1,10.1.0.42,attack,9003,9002,100
3537,30.7498,10.1.0.1,10.1.0.42,attack,9003,9002,100
3538,30.75,10.1.0.1,10.1.0.42,attack,9003,9002,100
3539,30.7504,10.1.0.1,10.1.0.42,attack,9003,9002,100
3540,30.7514,10.1.0.1,10.1.0.42,attack,9003,9002,100
3541,30.7536,10.1.0.31,10.1.0.42,attack,9003,9002,100
3542,30.7543,10.1.0.1,10.1.0.42,attack,9003,9002,100
3543,30.7546,10.1.0.1,10.1.0.42,attack,9003,9002,100
3544,30.7552,10.1.0.31,10.1.0.42,attack,9003,9002,100
3545,30.7562,10.1.0.31,10.1.0.42,attack,9003,9002,100
3546,30.7571,10.1.0.31,10.1.0.42,attack,9003,9002,100
3547,30.7581,10.1.0.31,10.1.0.42,attack,9003,9002,100
3548,30.777,10.1.0.31,10.1.0.42,attack,9003,9002,100
3549,30.7813,10.1.0.31,10.1.0.42,attack,9003,9002,100
3550,30.7856,10.1.0.31,10.1.0.42,attack,9003,9002,100
3551,30.7864,10.1.0.31,10.1.0.42,attack,9003,9002,100
3552,30.788,10.1.0.31,10.1.0.42,attack,9003,9002,100
3553,30.8002,10.1.0.1,10.1.0.42,attack,9003,9002,100
3554,30.8004,10.1.0.1,10.1.0.42,attack,9003,9002,100
3555,30.8007,10.1.0.1,10.1.0.42,attack,9003,9002,100
3556,30.8012,10.1.0.1,10.1.0.42,attack,9003,9002,100
3557,30.8023,10.1.0.1,10.1.0.42,attack,9003,9002,100
3558,30.8026,10.1.0.1,10.1.0.42,attack,9003,9002,100
3559,30.8031,10.1.0.1,10.1.0.42,attack,9003,9002,100
3560,30.8034,10.1.0.1,10.1.0.42,attack,9003,9002,100
3561,30.8039,10.1.0.1,10.1.0.42,attack,9003,9002,100
3562,30.8043,10.1.0.1,10.1.0.42,attack,9003,9002,100
3563,30.8061,10.1.0.31,10.1.0.42,attack,9003,9002,100
3564,30.8065,10.1.0.1,10.1.0.42,attack,9003,9002,100
3565,30.807,10.1.0.1,10.1.0.42,attack,9003,9002,100
3566,30.8073,10.1.0.1,10.1.0.42,attack,9003,9002,100
3567,30.8077,10.1.0.1,10.1.0.42,attack,9003,9002,100
3568,30.8081,10.1.0.1,10.1.0.42,attack,9003,9002,100
3569,30.8084,10.1.0.1,10.1.0.42,attack,9003,9002,100
3570,30.8088,10.1.0.1,10.1.0.42,attack,9003,9002,100
3571,30.8091,10.1.0.1,10.1.0.42,attack,9003,9002,100
3572,30.8094,10.1.0.1,10.1.0.42,attack,9003,9002,100
3573,30.8098,10.1.0.1,10.1.0.42,attack,9003,9002,100
3574,30.8103,10.1.0.7,10.1.0.42,normal,9001,9002,100
3575,30.8107,10.1.0.1,10.1.0.42,attack,9003,9002,100
3576,30.8121,10.1.0.1,10.1.0.42,attack,9003,9002,100
3577,30.8125,10.1.0.1,10.1.0.42,attack,9003,9002,100
3578,30.813,10.1.0.1,10.1.0.42,attack,9003,9002,100
3579,30.8132,10.1.0.1,10.1.0.42,attack,9003,9002,100
3580,30.8136,10.1.0.1,10.1.0.42,attack,9003,9002,100
3581,30.8139,10.1.0.1,10.1.0.42,attack,9003,9002,100
3582,30.8142,10.1.0.1,10.1.0.42,attack,9003,9002,100
3583,30.8145,10.1.0.1,10.1.0.42,attack,9003,9002,100
3584,30.8149,10.1.0.1,10.1.0.42,attack,9003,9002,100
3585,30.8153,10.1.0.1,10.1.0.42,attack,9003,9002,100
3586,30.8155,10.1.0.1,10.1.0.42,attack,9003,9002,100
3587,30.8173,10.1.0.1,10.1.0.42,attack,9003,9002,100
3588,30.8183,10.1.0.1,10.1.0.42,attack,9003,9002,100
3589,30.8188,10.1.0.1,10.1.0.42,attack,9003,9002,100
3590,30.819,10.1.0.1,10.1.0.42,attack,9003,9002,100
3591,30.8194,10.1.0.1,10.1.0.42,attack,9003,9002,100
3592,30.8198,10.1.0.1,10.1.0.42,attack,9003,9002,100
3593,30.8201,10.1.0.1,10.1.0.42,attack,9003,9002,100
3594,30.8211,10.1.0.1,10.1.0.42,attack,9003,9002,100
3595,30.8221,10.1.0.1,10.1.0.42,normal,9001,9002,100
3596,30.8232,10.1.0.31,10.1.0.42,attack,9003,9002,100
3597,30.8245,10.1.0.31,10.1.0.42,attack,9003,9002,100
3598,30.826,10.1.0.31,10.1.0.42,attack,9003,9002,100
3599,30.8268,10.1.0.31,10.1.0.42,attack,9003,9002,100
3600,30.8285,10.1.0.31,10.1.0.42,attack,9003,9002,100
3601,30.8304,10.1.0.31,10.1.0.42,attack,9003,9002,100
3602,30.8317,10.1.0.31,10.1.0.42,attack,9003,9002,100
3603,30.8338,10.1.0.31,10.1.0.42,attack,9003,9002,100
3604,30.8349,10.1.0.31,10.1.0.42,attack,9003,9002,100
3605,30.8362,10.1.0.31,10.1.0.42,attack,9003,9002,100
3606,30.8377,10.1.0.31,10.1.0.42,attack,9003,9002,100
3607,30.8392,10.1.0.31,10.1.0.42,attack,9003,9002,100
3608,30.8403,10.1.0.15,10.1.0.42,normal,9001,9002,100
3609,30.8425,10.1.0.31,10.1.0.42,attack,9003,9002,100
